ML Model Name,Accuracy,Precision,Recall,F1 Score,MCC
Logistic Regression,0.807843137254902,0.8236728139640761,0.807843137254902,0.8115637563120897,0.7158551985546667
Decision Tree,0.807843137254902,0.8159809785359371,0.807843137254902,0.8099913373448655,0.7132966065597562
KNN,0.803921568627451,0.8116722284019281,0.803921568627451,0.8061394913335076,0.7072541411508829
Naive Bayes,0.5137254901960784,0.6031494522691706,0.5137254901960784,0.4730704420088431,0.3064034996383518
Random Forest,0.8470588235294118,0.8538238077711762,0.8470588235294118,0.849092067771384,0.7717105685130221
XGBoost,0.8745098039215686,0.8770697167755991,0.8745098039215686,0.8752635599694424,0.8122332569781536
